,adjacency matrix order,,,1,2,3,4,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,,91,92,83,84,85,96,97,98,99,100,,71,89,90,86,87,88,134,104,105,106,107,108,109,,93,94,95,111,112,113,114,,116,117,118,70,82,125,126,127,, ,120,121,122,,101,102,103,115,,72,73,74,75,76,77,78,79,,,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,160,161,162,163,164,165,166,167,168,169,170,171,,,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,,,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,,,236,237
,class order,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,,55,56,57,58,59,60,61,62,63,64,,65,66,67,68,69,70,71,72,73,74,75,76,77,,78,79,80,81,82,83,84,,85,86,87,88,89,90,91,92,,93,94,95,96,,97,98,99,100,,101,102,103,104,105,106,107,108,,,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
class order,adjacency matrix order,,,PHAL,PHAR,PHBL,PHBR,R1AL,R1AR,R1BL,R1BR,R2AL,R2AR,R2BL,R2BR,R3AL,R3AR,R3BL,R3BR,R4AL,R4AR,R4BL,R4BR,R5AL,R5AR,R5BL,R5BR,R6AL,R6AR,R6BL,R6BR,R7AL,R7AR,R7BL,R7BR,R8AL,R8AR,R8BL,R8BR,R9AL,R9AR,R9BL,R9BR,HOA,HOB,PCAL,PCAR,PCBL,PCBR,PCCL,PCCR,SPCL,SPCR,SPDL,SPDR,SPVL,SPVR,,LUAL,LUAR,CP07,CP08,CP09,CA02,CA03,CA04,CA05,CA06,,PVY,PVX,PVV,PDA,PDB,PDC,PVZ,CP01,CP02,CP03,CP04,CP05,CP06,,DX1,DX2,DX3,DVB,DVC,DVE,DVF,,EF1,EF2,EF3,AVG,AVL,PVS,PVU,PVT,,AN3a,AN3b,PVNL,PVNR,,CA07,CA08,CA09,PGA,,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,PVCL,PVCR,sum CI's,,DA04,DA05,DA06,DA07,DA08,DA09,DB03,DB04,DB05,DB06,DB07,DD03,DD04,DD05,DD06,AS08,AS09,AS10,AS11,VA08,VA09,VA10,VA11,VA12,VB05,VB06,VB07,VB08,VB09,VB10,VB11,VD09,VD10,VD11,VD12,VD13,sum gs bwmn's,,dBWML21,dBWMR21,dBWML22,dBWMR22,dBWML23,dBWMR23,dBWML24,dBWMR24,vBWML17,vBWMR18,vBWML19,vBWMR19,vBWML20,vBWMR20,vBWML21,vBWMR21,vBWML22,vBWMR22,vBWML23,vBWMR23,vBWMR24,sum gs bwm,,cdlL,cdlR,polL,polR,dglR8,dglL7,dglR7,dglL6,dglR6,dglL5,dglR5,dglL4,dglR4,dglL3,dglR3,dglL2,dglR2,dglL1,dglR1,gecL,gecR,grtL,grtR,aobL,aobR,pobL,pobR,adp,dspL,dspR,dsrL,dsrR,vspL,vspR,vsrL,vsrR,ailL,ailR,pilL,pilR,intL,intR,sph,sum ms muscles,whole motor system sum,gonad,hyp
1,1,PHAL,R,,18,1,,,,,,,,,,,,21,41,,,,,,,,,,,,,,,,,3,13,,,9,,,,,,,,,,,,,,,,,,,26,,5,,,,,,,,,,43,,,,,,,,,,,,, ,,,,,,,,,,44,,,,,,,,,,,,,,,,,8,,,,,,21,,29,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,37,,
2,2,PHAR,R,4,,,20,,,,2,,,,,,,1,3,,,,,,,,,,,,6,,,,,7,6,,,,,60,,,,2,2,,,,,,,,,,,,2,6,21,,,,,,,,,3,23,,1,,,27,,,,,,,,,,,,,,,,44,37,,4,,,,,,5,,,,,,,,,,4,,,,,,,15,19,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,3,23,,
3,3,PHBL,R,10,,,7,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,2,,,,3,,,,4,8,,,,,,,,,,,,,,13,,,,,,,,,,,9,23,,,,,,,,,,,,,13,,4,,,3,1,,,,24,8,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
4,4,PHBR,R,,7,5,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,6,13,,7,,,11,,,,,,,,,,,,6,2,6,,,,,,,,,4,7,,,10,,,,,,,,,,,,,,,11,,,9,24,,7,,,,,,,,,,,4,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,2,,
5,7,R1AL,D,,,,,6,,,,,,,,52,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,2,,,,10,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,16,,
6,8,R1AR,D,,,,,,,,,,10,,,,,,,,3,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,4,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,,
7,9,R1BL,E,,,,,8,,,,1,,,,5,,2,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2
