"","neuron","clusterLabel","GOOD","Notes"
"1","R1AL","D","\",""
"3","R1AR","D","\",""
"5","R2AL","D","\",""
"7","R2AR","D","\",""
"9","R3AL","D","\",""
"11","R3AR","D","\",""
"13","R4AL","D","\",""
"15","R4AR","D","\",""
"17","R5AL","D","\",""
"19","R5AR","D","\",""
"21","CA09","D","\",""
"23","cdlL","D","","?cdl"
"25","cdlR","D","","?cdl"
"27","polL","D","","?pol"
"29","polR","D","","?pol"
"31","dglR8","D","","?dgl"
"33","dglL7","D","","?dgl"
"35","dglR7","D","","?dgl"
"37","dglL6","D","","?dgl"
"39","dglR6","D","","?dgl"
"41","dglL5","D","","?dgl"
"43","dglR5","D","","?dgl"
"45","dglL4","D","","?dgl"
"47","dglR3","D","","?dgl"
"49","dglL2","D","","?dgl"
"51","dglR2","D","","?dgl"
"53","dglL1","D","","?dgl"
"55","dglR1","D","","?dgl"
"57","R1BL","E","\",""
"59","R1BR","E","\",""
"61","R3BL","E","\",""
"63","R5BL","E","\",""
"65","R5BR","E","\",""
"67","R6AL","E","\",""
"69","R6AR","E","\",""
"71","R6BL","E","\",""
"73","R6BR","E","\",""
"75","R7AL","E","\",""
"77","R7AR","E","\",""
"79","R7BL","E","\",""
"81","R7BR","E","\",""
"83","R9BL","E","\",""
"85","R9BR","E","\",""
"87","CA04","E","\",""
"89","PVV","E","\",""
"91","PDA","E","\",""
"93","PDB","E","\",""
"95","PDC","E","\",""
"97","AS11","E","\",""
"99","PVS","E","\",""
"101","AN3a","E","\",""
"103","AN3b","E","\",""
"105","PVNR","E","\",""
"107","PGA","E","\",""
"109","VD13","E","\",""
"111","dBWML21","E","","?dBWM"
"113","dBWMR21","E","","?dBWM"
"115","dBWML22","E","","?dBWM"
"117","dBWMR22","E","","?dBWM"
"119","dBWML23","E","","?dBWM"
"121","dBWMR23","E","","?dBWM"
"123","dBWML24","E","","?dBWM"
"125","dBWMR24","E","","?dBWM"
"127","CP07","E","\",""
"129","CP08","E","\",""
"131","CP09","E","\",""
"133","HOB","F","\",""
"135","PCBL","F","\",""
"137","PCBR","F","\",""
"139","PCCL","F","\",""
"141","SPCL","F","\",""
"143","SPCR","F","\",""
"145","CA02","F","\",""
"147","CA03","F","\",""
"149","CA05","F","\",""
"151","CA06","F","\",""
"153","CP01","F","\",""
"155","CP02","F","\",""
"157","CP03","F","\",""
"159","CP04","F","\",""
"161","CP05","F","\",""
"163","CP06","F","\",""
"165","DX2","F","\",""
"167","DVB","F","\",""
"169","DVE","F","\",""
"171","DVF","F","\",""
"173","AVL","F","\",""
"175","PVT","F","\",""
"177","gecL","F","","?gec"
"179","gecR","F","","?gec"
"181","grtL","F","","?grt"
"183","grtR","F","","?grt"
"185","aobL","F","","?aob"
"187","aobR","F","","?aob"
"189","pobL","F","","?pob"
"191","pobR","F","","?pob"
"193","adp","F","\",""
"195","dspL","F","","?dsp"
"197","dspR","F","","?dsp"
"199","vspL","F","","?vsp"
"201","vspR","F","","?vsp"
"203","intL","F","","?int"
"205","intR","F","","?int"
"207","sph","F","\",""
"209","gonad","F","",""
"211","SPDL","L","\",""
"213","SPDR","L","\",""
"215","SPVL","L","\",""
"217","SPVR","L","\",""
"219","DVC","L","\",""
"221","PVU","L","\",""
"223","CA08","L","\",""
"225","AVAL","L","\",""
"227","AVAR","L","\",""
"229","AVBL","L","\",""
"231","AVDL","L","\",""
"233","AVDR","L","\",""
"235","PVCL","L","\",""
"237","PVCR","L","\",""
